beta,w_dtw,r_lgbm,lgbm_cf,tcn_cf,cf,overall,B1,B2,B3,B4
0.3,0.83,0.65,0.74,0.59,1.08,0.5632,0.6112,0.5713,0.6378,0.4327
0.3,0.83,0.45,0.74,0.59,1.09,0.562,0.6142,0.5663,0.6388,0.4286
0.3,0.83,0.7,0.74,0.59,1.07,0.5636,0.6114,0.5703,0.6405,0.4321
0.3,0.84,0.55,0.74,0.59,1.08,0.5623,0.6116,0.5666,0.6408,0.4302
0.3,0.84,0.65,0.74,0.59,1.07,0.5629,0.6114,0.5672,0.6421,0.431
0.3,0.84,0.45,0.74,0.59,1.08,0.5618,0.6141,0.5628,0.6431,0.4274
0.3,0.84,0.7,0.74,0.59,1.07,0.5631,0.6102,0.5691,0.6409,0.4324
0.3,0.85,0.55,0.74,0.59,1.07,0.5619,0.6116,0.5628,0.6446,0.4287
0.3,0.85,0.65,0.74,0.59,1.06,0.5625,0.6116,0.563,0.646,0.4293
0.3,0.85,0.45,0.74,0.59,1.07,0.5616,0.6139,0.5595,0.6467,0.4262
0.3,0.85,0.7,0.74,0.59,1.06,0.5627,0.6105,0.5648,0.645,0.4306
0.3,0.86,0.55,0.74,0.59,1.06,0.5616,0.6117,0.5592,0.6484,0.4273
0.3,0.86,0.65,0.74,0.59,1.06,0.562,0.6096,0.5623,0.6465,0.4296
0.3,0.86,0.45,0.74,0.59,1.06,0.5614,0.6138,0.5564,0.6503,0.4249
0.3,0.86,0.7,0.74,0.59,1.05,0.5622,0.6108,0.5606,0.6488,0.4288
0.3,0.87,0.55,0.74,0.59,1.05,0.5613,0.6119,0.5558,0.6516,0.4258
0.3,0.87,0.65,0.74,0.59,1.05,0.5616,0.6099,0.5584,0.65,0.428
0.3,0.87,0.45,0.74,0.59,1.05,0.561,0.6137,0.5534,0.6533,0.4237
0.3,0.87,0.7,0.74,0.59,1.05,0.5618,0.6089,0.5599,0.6492,0.4291
0.3,0.88,0.55,0.74,0.59,1.04,0.5609,0.612,0.5526,0.6547,0.4244
0.3,0.88,0.65,0.74,0.59,1.04,0.5612,0.6102,0.5548,0.6533,0.4263
0.3,0.88,0.45,0.74,0.59,1.05,0.5608,0.6115,0.5536,0.6536,0.4244
0.3,0.88,0.7,0.74,0.59,1.04,0.5613,0.6093,0.556,0.6526,0.4273
0.3,0.89,0.55,0.74,0.59,1.03,0.5607,0.6123,0.5496,0.6579,0.423
0.3,0.89,0.65,0.74,0.59,1.03,0.5608,0.6106,0.5514,0.6567,0.4247
0.3,0.89,0.45,0.74,0.59,1.04,0.5605,0.6115,0.5509,0.6566,0.4232
0.3,0.89,0.7,0.74,0.59,1.03,0.5609,0.6098,0.5524,0.6561,0.4256
0.3,0.9,0.55,0.74,0.59,1.03,0.5604,0.6101,0.5497,0.6582,0.4235
0.3,0.9,0.65,0.74,0.59,1.03,0.5604,0.6084,0.5512,0.6571,0.4251
0.3,0.9,0.45,0.74,0.59,1.03,0.56,0.6116,0.547,0.6593,0.4219
0.3,0.9,0.7,0.74,0.59,1.03,0.5605,0.6075,0.552,0.6565,0.4259
0.3,0.91,0.55,0.74,0.59,1.03,0.5596,0.607,0.5489,0.6586,0.424
0.3,0.91,0.65,0.74,0.59,1.03,0.5598,0.6052,0.5512,0.6575,0.4254
0.3,0.91,0.45,0.74,0.59,1.03,0.5593,0.6088,0.5464,0.6595,0.4226
0.3,0.91,0.7,0.74,0.59,1.02,0.5599,0.6083,0.5488,0.6584,0.4241
0.3,0.92,0.55,0.74,0.59,1.03,0.5586,0.6034,0.548,0.6587,0.4245
0.3,0.92,0.65,0.74,0.59,1.02,0.5589,0.606,0.5468,0.659,0.4238
0.3,0.92,0.45,0.74,0.59,1.03,0.5584,0.6051,0.5459,0.6595,0.4232
0.3,0.92,0.7,0.74,0.59,1.02,0.5591,0.6052,0.5479,0.6587,0.4244
0.3,0.93,0.55,0.74,0.59,1.02,0.5578,0.604,0.544,0.66,0.4231
0.3,0.93,0.65,0.74,0.59,1.02,0.5579,0.6025,0.5458,0.6593,0.4241
0.3,0.93,0.45,0.74,0.59,1.02,0.5576,0.6055,0.5422,0.6606,0.422
0.3,0.93,0.7,0.74,0.59,1.02,0.558,0.6018,0.5467,0.659,0.4247
0.4,0.78,0.55,0.72,0.59,1.12,0.561,0.6106,0.5772,0.6182,0.438
0.4,0.78,0.65,0.72,0.59,1.12,0.5622,0.6095,0.5836,0.6148,0.4409
0.4,0.78,0.45,0.72,0.59,1.13,0.5599,0.6126,0.5745,0.6156,0.4369
0.4,0.78,0.7,0.72,0.59,1.12,0.5628,0.6086,0.587,0.6132,0.4424
0.4,0.79,0.55,0.72,0.59,1.12,0.5614,0.6113,0.5769,0.6188,0.4386
0.4,0.79,0.65,0.72,0.59,1.11,0.5624,0.6097,0.5793,0.6211,0.4395
0.4,0.79,0.45,0.72,0.59,1.12,0.5604,0.6126,0.5712,0.6219,0.4359
0.4,0.79,0.7,0.72,0.59,1.11,0.5629,0.6088,0.5824,0.6196,0.4409
0.4,0.8,0.55,0.72,0.59,1.11,0.5616,0.6113,0.5732,0.6247,0.4371
0.4,0.8,0.65,0.72,0.59,1.1,0.5625,0.6098,0.5752,0.6273,0.4376
0.4,0.8,0.45,0.72,0.59,1.11,0.5608,0.6127,0.568,0.6278,0.4345
0.4,0.8,0.7,0.72,0.59,1.1,0.5629,0.609,0.578,0.6258,0.439
0.4,0.81,0.55,0.72,0.59,1.1,0.5618,0.6114,0.5696,0.6309,0.4354
0.4,0.81,0.65,0.72,0.59,1.09,0.5627,0.61,0.5711,0.6336,0.4359
0.4,0.81,0.45,0.72,0.59,1.1,0.5611,0.6127,0.5649,0.6337,0.433
0.4,0.81,0.7,0.72,0.59,1.09,0.5631,0.6092,0.5737,0.6323,0.4371
0.4,0.82,0.55,0.72,0.59,1.09,0.5621,0.6114,0.5661,0.6371,0.4338
0.4,0.82,0.65,0.72,0.59,1.08,0.5628,0.6101,0.5673,0.6397,0.4341
0.4,0.82,0.45,0.72,0.59,1.09,0.5615,0.6126,0.562,0.6399,0.4315
0.4,0.82,0.7,0.72,0.59,1.08,0.5632,0.6094,0.5696,0.6384,0.4353
0.4,0.83,0.55,0.72,0.59,1.08,0.5624,0.6115,0.5628,0.6429,0.4323
0.4,0.83,0.65,0.72,0.59,1.08,0.5629,0.6098,0.5669,0.6405,0.4344
0.4,0.83,0.45,0.72,0.59,1.08,0.5618,0.6126,0.5591,0.6454,0.4301
0.4,0.83,0.7,0.72,0.59,1.07,0.5632,0.6096,0.5656,0.644,0.4335
0.4,0.84,0.55,0.72,0.59,1.07,0.5625,0.6116,0.5596,0.6481,0.4308
0.4,0.84,0.65,0.72,0.59,1.07,0.563,0.61,0.5632,0.646,0.4327
0.4,0.84,0.45,0.72,0.59,1.08,0.5621,0.6123,0.5593,0.646,0.4307
