alpha_lgbm,cap_lgbm,alpha_tcn,cap_tcn,cf,overall,B1,B2,B3,B4
0.0,1.2,0.8,1.5,0.98,0.5811,0.6018,0.5933,0.6525,0.4767
0.6,1.3,0.4,1.5,0.97,0.5811,0.6056,0.5953,0.6715,0.4521
0.0,1.5,0.8,1.5,0.98,0.5811,0.6018,0.5933,0.6525,0.4767
0.0,2.0,0.8,1.5,0.98,0.5811,0.6018,0.5933,0.6525,0.4767
0.0,1.3,0.8,1.5,0.98,0.5811,0.6018,0.5933,0.6525,0.4767
1.0,1.2,0.2,2.0,0.96,0.5811,0.6095,0.5942,0.6714,0.4493
0.0,1.1,0.8,1.5,0.98,0.5811,0.6018,0.5933,0.6525,0.4767
0.4,1.1,1.0,1.3,0.96,0.581,0.6136,0.5894,0.6555,0.4656
0.4,1.2,0.4,2.0,0.98,0.581,0.5993,0.5891,0.6663,0.4694
0.8,1.2,0.6,1.3,0.95,0.5809,0.6155,0.5925,0.6651,0.4505
0.2,1.2,1.0,1.3,0.96,0.5808,0.6134,0.5879,0.6579,0.4642
0.4,1.2,0.8,1.3,0.96,0.5807,0.6123,0.5872,0.6659,0.4574
0.4,2.0,0.8,1.3,0.94,0.5807,0.6189,0.59,0.6641,0.4498
0.8,2.0,0.6,1.5,0.95,0.5805,0.6173,0.627,0.6144,0.4633
1.0,1.5,0.6,1.5,0.94,0.5804,0.6194,0.6237,0.6172,0.4614
0.8,1.3,0.6,1.3,0.94,0.5804,0.6179,0.5955,0.6608,0.4475
0.2,2.0,0.4,2.0,0.98,0.5804,0.5991,0.5848,0.6714,0.4664
0.6,1.3,0.6,1.3,0.95,0.5804,0.6152,0.5896,0.6691,0.4477
1.0,1.3,0.4,1.5,0.94,0.5804,0.6173,0.602,0.6525,0.4497
0.2,2.0,0.8,1.3,0.96,0.5803,0.6122,0.5843,0.6715,0.4534
0.6,1.5,0.8,1.3,0.94,0.5803,0.6191,0.5982,0.6519,0.4519
0.6,1.1,0.4,2.0,0.98,0.5802,0.5994,0.5872,0.6636,0.4705
0.2,1.3,0.6,1.5,0.98,0.5802,0.6006,0.5907,0.6656,0.464
0.0,1.1,0.6,2.0,0.98,0.5801,0.6001,0.5807,0.651,0.4887
0.0,1.2,0.6,2.0,0.98,0.5801,0.6001,0.5807,0.651,0.4887
0.0,1.3,0.6,2.0,0.98,0.5801,0.6001,0.5807,0.651,0.4887
0.0,2.0,0.6,2.0,0.98,0.5801,0.6001,0.5807,0.651,0.4887
0.0,1.5,0.6,2.0,0.98,0.5801,0.6001,0.5807,0.651,0.4887
1.0,1.3,1.0,1.3,0.92,0.58,0.6207,0.6126,0.6245,0.4624
0.6,1.2,0.6,1.3,0.96,0.5799,0.6113,0.5872,0.6705,0.4504
0.6,1.1,0.8,1.3,0.96,0.5798,0.6124,0.5856,0.6632,0.458
0.6,1.2,0.4,1.5,0.97,0.5797,0.6055,0.5894,0.6715,0.4525
1.0,1.3,0.8,1.3,0.93,0.5796,0.6201,0.6076,0.6345,0.4563
1.0,1.1,0.6,1.3,0.96,0.5796,0.6116,0.5872,0.6673,0.4522
1.0,1.2,0.4,1.3,0.95,0.5796,0.6145,0.592,0.6678,0.444
0.4,1.1,0.6,1.5,0.98,0.5795,0.6007,0.5898,0.6622,0.4655
1.0,1.1,0.4,1.5,0.97,0.5795,0.6058,0.5886,0.6688,0.4548
1.0,2.0,0.6,1.5,0.95,0.5794,0.6181,0.6413,0.5912,0.4671
0.2,1.1,1.0,1.3,0.97,0.5794,0.6086,0.5874,0.6552,0.4664
0.2,1.5,0.8,1.3,0.97,0.5794,0.6073,0.5854,0.669,0.456
0.2,1.5,0.4,2.0,0.98,0.5793,0.599,0.5836,0.6683,0.4662
0.6,2.0,1.0,1.3,0.94,0.5791,0.6211,0.6116,0.6209,0.4628
0.4,1.5,0.6,1.3,0.96,0.5791,0.6111,0.5863,0.6734,0.4455
0.2,1.2,0.6,1.5,0.98,0.579,0.6005,0.5882,0.6631,0.4641
1.0,1.2,0.2,1.5,0.96,0.5789,0.6095,0.5904,0.6739,0.4416
0.8,1.3,0.2,2.0,0.96,0.5789,0.6092,0.5915,0.6682,0.4467
0.4,1.5,0.4,1.5,0.97,0.5787,0.6053,0.5882,0.6739,0.4475
1.0,1.3,0.6,1.3,0.94,0.5787,0.6184,0.6027,0.6437,0.4501
0.8,1.2,0.2,2.0,0.97,0.5787,0.6043,0.5886,0.6729,0.4492
0.6,1.5,0.4,1.5,0.96,0.5785,0.6106,0.5954,0.6609,0.4471
0.2,1.3,0.8,1.3,0.97,0.5785,0.6072,0.5836,0.666,0.4574
0.8,1.2,0.4,1.3,0.96,0.5784,0.6103,0.5869,0.6729,0.4435
0.4,1.3,0.6,1.3,0.97,0.5783,0.6062,0.5851,0.6715,0.4504
0.8,1.5,1.0,1.3,0.93,0.5783,0.6215,0.6134,0.6174,0.4611
0.2,1.3,0.4,2.0,0.98,0.5781,0.5989,0.5825,0.6641,0.4669
0.8,1.3,0.4,1.3,0.95,0.5781,0.6143,0.59,0.667,0.4411
0.4,1.5,1.0,1.2,0.94,0.578,0.6182,0.5854,0.6635,0.445
0.6,1.5,0.6,1.3,0.95,0.578,0.6155,0.5937,0.658,0.4447
0.8,1.1,0.6,1.3,0.96,0.578,0.6113,0.5824,0.6683,0.4501
1.0,1.3,0.2,2.0,0.95,0.578,0.6135,0.5956,0.6565,0.4464
0.4,1.1,0.8,1.3,0.97,0.5778,0.6074,0.5836,0.6618,0.4585
0.4,1.3,0.4,1.5,0.97,0.5778,0.6051,0.5847,0.6717,0.4499
0.4,1.1,0.4,2.0,0.98,0.5778,0.5991,0.5819,0.6615,0.4687
0.8,1.2,0.8,1.2,0.94,0.5776,0.6177,0.5887,0.6581,0.4459
0.2,2.0,1.0,1.2,0.95,0.5776,0.6156,0.5799,0.6686,0.4462
1.0,1.2,0.6,1.2,0.94,0.5776,0.6171,0.5906,0.6606,0.4422
0.4,2.0,0.6,1.3,0.95,0.5775,0.6152,0.5852,0.6666,0.443
0.8,1.5,0.8,1.3,0.94,0.5775,0.6197,0.6085,0.6274,0.4544
0.8,1.1,0.4,1.5,0.97,0.5775,0.6055,0.5831,0.6689,0.4526
0.6,1.3,0.8,1.2,0.94,0.5775,0.6174,0.5854,0.6637,0.4436
0.8,1.5,0.4,1.5,0.95,0.5775,0.615,0.6027,0.6449,0.4474
0.6,2.0,0.8,1.3,0.94,0.5775,0.6196,0.6032,0.6348,0.4525
0.2,1.2,0.8,1.3,0.97,0.5774,0.6072,0.582,0.6633,0.4572
0.6,1.3,0.4,1.3,0.97,0.5774,0.6053,0.587,0.6739,0.4436
0.4,1.5,0.8,1.2,0.95,0.5774,0.6149,0.5825,0.6708,0.4413
0.8,1.2,0.6,1.2,0.95,0.5773,0.6144,0.5859,0.6672,0.4418
0.4,1.3,1.0,1.2,0.94,0.5773,0.618,0.5818,0.6625,0.4472
1.0,1.2,0.4,1.2,0.95,0.5773,0.6138,0.5878,0.6693,0.4381
0.6,1.3,0.2,2.0,0.97,0.5773,0.604,0.5862,0.6727,0.4465
0.6,1.3,1.0,1.2,0.94,0.5772,0.6185,0.5902,0.6507,0.4494
0.0,1.3,1.0,1.3,0.97,0.5772,0.6082,0.5828,0.6531,0.4646
0.6,1.2,1.0,1.2,0.94,0.5772,0.6184,0.5863,0.6544,0.4497
0.6,1.2,0.8,1.2,0.95,0.5772,0.6151,0.5835,0.6645,0.4456
0.0,2.0,1.0,1.3,0.97,0.5772,0.6082,0.5828,0.6531,0.4646
0.0,1.5,1.0,1.3,0.97,0.5772,0.6082,0.5828,0.6531,0.4646
0.0,1.2,1.0,1.3,0.97,0.5772,0.6082,0.5828,0.6531,0.4646
0.0,1.1,1.0,1.3,0.97,0.5772,0.6082,0.5828,0.6531,0.4646
1.0,1.2,0.8,1.2,0.94,0.5771,0.6182,0.5959,0.6459,0.4485
0.4,1.2,0.6,1.3,0.97,0.5771,0.6061,0.5819,0.6704,0.45
0.4,2.0,0.4,1.5,0.96,0.5771,0.6104,0.5864,0.6663,0.4452
1.0,1.2,0.2,1.3,0.96,0.5771,0.6093,0.5868,0.6755,0.4369
1.0,1.2,0.8,1.1,0.94,0.5771,0.6162,0.5871,0.6692,0.4361
0.2,1.2,0.4,2.0,0.98,0.577,0.5988,0.5803,0.6614,0.4673
0.2,2.0,0.6,1.3,0.97,0.577,0.606,0.58,0.6751,0.4468
1.0,1.1,0.8,1.2,0.94,0.577,0.6176,0.5809,0.6648,0.4449
0.8,1.3,0.8,1.2,0.94,0.577,0.6179,0.5939,0.6508,0.4455
1.0,1.2,1.0,1.1,0.94,0.5769,0.6167,0.5896,0.6621,0.4394
1.0,1.2,0.6,1.1,0.95,0.5769,0.6134,0.5867,0.6723,0.4352
1.0,1.3,0.4,1.3,0.94,0.5769,0.617,0.5954,0.6542,0.441
0.6,1.3,0.6,1.2,0.95,0.5769,0.6141,0.5829,0.6711,0.4394
0.2,1.1,0.6,1.5,0.98,0.5768,0.6004,0.5842,0.6591,0.4636
0.8,1.3,0.2,1.5,0.96,0.5768,0.6092,0.5888,0.6704,0.4388
0.8,1.2,1.0,1.1,0.95,0.5768,0.6141,0.5852,0.669,0.439
0.8,1.3,0.6,1.2,0.94,0.5768,0.6169,0.5882,0.6625,0.4396
