feature,Mon_B1,Tre_B1,Mon_B2,Tre_B2,Mon_B3,Tre_B3,Mon_B4,Tre_B4,Mon_mean,Tre_mean,Quality,rank
ch3_peak,0.02399999999999981,0.6760764904386952,0.1150442477876096,0.7264468650849532,0.09090909090908988,0.7031809940754756,0.058823529411764275,0.3907489685814027,0.0721942170271159,0.6241133295451317,0.3481537732861238,12
ch4_p2p,0.18399999999999853,0.6281124859392576,0.07964601769911435,0.7005568943520788,0.06818181818181741,0.507337419135172,0.08823529411764641,0.4639330184628595,0.10501578249964418,0.574984954472342,0.3400003684859931,13
ch4_kurt_rms,0.05599999999999956,0.5860817397825272,0.008849557522123816,0.7638038921852535,0.2272727272727247,0.5300306435137897,0.13235294117646962,0.3778679037467097,0.10611880649282943,0.5644460448070701,0.33528242564994976,14
ch3_kurt_rms,0.03999999999999968,0.6479580052493439,0.13274336283185723,0.7338166501285921,0.15909090909090728,0.5568777664283284,0.029411764705882137,0.37079731924505754,0.09031150915716157,0.5773624352628305,0.33383697220999603,15
ch4_mean_freq,0.16799999999999865,0.6788061492313461,0.25663716814159065,0.34943399283125093,0.0,0.6422199523323119,0.07352941176470534,0.4477103440551085,0.12454164497657366,0.5295426096125044,0.3270421272945391,16
ch4_bhigh_band,0.0879999999999993,0.6743727034120736,0.13274336283185723,0.700662198011381,0.04545454545454494,0.28340143003064355,0.058823529411764275,0.6078789179905539,0.08125535942454143,0.566578812361163,0.32391708589285223,17
ch4_peak,0.10399999999999918,0.6134143232095989,0.07964601769911435,0.7012292177153157,0.04545454545454494,0.48326523663602317,0.08823529411764641,0.4706535740287863,0.07933396431782622,0.5671405878974309,0.3232372761076286,18
ch3_mean_freq,0.375999999999997,0.7704206974128235,0.13274336283185723,0.3048581438204978,0.04545454545454494,0.6198672114402453,0.029411764705882137,0.2977719491477962,0.14590241824807035,0.49822950045534065,0.3220659593517055,19
ch3_bhigh_band,0.007999999999999936,0.783955005624297,0.09734513274336197,0.6685364816427372,0.13636363636363483,0.37351038474633985,0.014705882352941069,0.445549498758564,0.06410366286498445,0.5678878426929845,0.3159957527789845,20
ch4_freq_std,0.0879999999999993,0.5054098237720286,0.09734513274336197,0.7459022701038862,0.18181818181817977,0.14370105549880832,0.0,0.6424851121026004,0.09179082864038526,0.5093745653693309,0.30058269700485807,21
ch1_std,0.10399999999999918,0.44237570303712037,0.07964601769911435,0.6984022194771269,0.29545454545454214,0.5347974123255023,0.10294117647058748,0.0998702559411578,0.1455104349060608,0.4438613976952268,0.2946859163006438,22
ch1_rms,0.10399999999999918,0.45834570678665176,0.061946902654866715,0.7003381867519897,0.29545454545454214,0.5334525025536262,0.10294117647058748,0.09948755763809808,0.14108565614499888,0.4479059884325914,0.2944958222887951,23
ch1_energy,0.10399999999999918,0.45834570678665176,0.061946902654866715,0.7003381867519897,0.29545454545454214,0.5334525025536262,0.10294117647058748,0.09948755763809808,0.14108565614499888,0.4479059884325914,0.2944958222887951,24
ch1_total_power,0.0879999999999993,0.45145256842894643,0.02654867256637145,0.6992284481885747,0.31818181818181457,0.5347293156281921,0.10294117647058748,0.09981425131144174,0.1339179168046932,0.44630614588928874,0.290112031346991,25
ch3_mid_band,0.27999999999999775,0.6821297337832772,0.20353982300884776,0.009716287640995526,0.02272727272727247,0.48588695948246513,0.10294117647058748,0.461758172008886,0.15230206805167634,0.40987278822890594,0.28108742814029114,26
ch1_spectral_entropy,0.1519999999999988,0.6926104236970378,0.04424778761061908,0.5346307284178126,0.09090909090908988,0.5733060946544093,0.029411764705882137,0.0940924449754513,0.07914216080639748,0.4736599229361777,0.2764010418712876,27
ch2_high_band,0.16799999999999865,0.5922969628796401,0.1150442477876096,0.44457179887001075,0.04545454545454494,0.11664964249233913,0.10294117647058748,0.42135083166875126,0.10785999242818518,0.3937173089776853,0.25078865070293527,28
