w_th,alpha,cap,cf,overall,B1,B2,B3,B4
0.7,1.0,1.2,0.88,0.542,0.5635,0.5726,0.6459,0.386
0.3,0.8,1.8,0.75,0.5414,0.5787,0.5225,0.6276,0.4367
0.5,0.6,1.5,0.84,0.5413,0.5737,0.5506,0.638,0.403
0.7,0.2,2.0,0.95,0.5404,0.5875,0.5846,0.594,0.3954
0.4,0.8,1.5,0.79,0.5396,0.5728,0.5394,0.6344,0.4116
0.2,1.0,1.8,0.7,0.5387,0.5693,0.5116,0.6265,0.4474
0.4,0.6,2.0,0.8,0.5387,0.5864,0.5344,0.6002,0.4338
0.1,1.0,2.0,0.7,0.5383,0.5764,0.515,0.6043,0.4575
0.3,1.0,1.5,0.75,0.5383,0.5758,0.5312,0.6241,0.4221
0.35,0.8,1.8,0.75,0.5382,0.5753,0.5232,0.6209,0.4334
0.7,0.4,1.5,0.88,0.5378,0.5581,0.5589,0.6482,0.3859
0.6,1.0,1.3,0.82,0.5378,0.5562,0.5528,0.6495,0.3926
0.6,0.4,1.8,0.87,0.5365,0.5744,0.5534,0.6146,0.4038
0.7,0.8,1.3,0.85,0.5363,0.5531,0.5579,0.6484,0.3858
0.3,0.8,2.0,0.74,0.5362,0.5751,0.5199,0.6028,0.4471
0.35,1.0,1.5,0.74,0.5346,0.5621,0.5257,0.6347,0.4157
0.5,0.6,1.8,0.8,0.534,0.568,0.5323,0.6202,0.4153
0.6,0.6,1.5,0.83,0.5337,0.5557,0.5443,0.6404,0.3946
0.4,0.8,1.8,0.75,0.5335,0.5701,0.5216,0.6126,0.4299
0.2,1.0,2.0,0.69,0.5335,0.5658,0.5078,0.6043,0.4559
0.3,1.0,1.8,0.7,0.532,0.5626,0.5105,0.6137,0.4411
0.5,0.8,1.5,0.78,0.5313,0.5515,0.5316,0.6392,0.403
0.35,0.8,2.0,0.74,0.5309,0.5716,0.519,0.5889,0.4441
0.4,1.0,1.5,0.74,0.5308,0.554,0.5258,0.6311,0.4122
0.7,1.0,1.3,0.81,0.5306,0.5416,0.5453,0.6497,0.3856
0.6,0.4,2.0,0.87,0.5299,0.5812,0.5532,0.5745,0.4108
0.35,1.0,1.8,0.69,0.5284,0.5523,0.5055,0.6211,0.4348
0.7,0.6,1.5,0.81,0.5264,0.5341,0.5332,0.6527,0.3854
0.5,0.6,2.0,0.8,0.5263,0.5767,0.5316,0.5696,0.4271
0.3,1.0,2.0,0.69,0.525,0.5591,0.5086,0.5786,0.4537
0.4,0.8,2.0,0.74,0.5247,0.5678,0.5173,0.5728,0.4409
0.6,0.8,1.5,0.76,0.524,0.5283,0.5198,0.6553,0.3923
0.7,0.4,1.8,0.86,0.5235,0.554,0.5486,0.5964,0.395
0.4,1.0,1.8,0.69,0.5235,0.547,0.5032,0.6125,0.4314
0.5,1.0,1.5,0.72,0.5227,0.5266,0.512,0.6512,0.4009
0.5,0.8,1.8,0.74,0.521,0.5473,0.514,0.603,0.4197
0.6,0.6,1.8,0.79,0.5201,0.5463,0.5242,0.6037,0.4062
0.35,1.0,2.0,0.68,0.5189,0.5487,0.5011,0.578,0.4477
0.7,0.4,2.0,0.87,0.5174,0.565,0.5523,0.5487,0.4037
0.7,0.8,1.5,0.75,0.5172,0.515,0.5124,0.6566,0.3849
0.6,1.0,1.5,0.71,0.5162,0.5115,0.5042,0.6565,0.3925
0.4,1.0,2.0,0.69,0.5129,0.5516,0.5044,0.5477,0.4481
0.6,0.6,2.0,0.8,0.5128,0.5614,0.5281,0.5428,0.4188
0.5,0.8,2.0,0.74,0.5122,0.5583,0.5126,0.544,0.4338
0.5,1.0,1.8,0.68,0.5107,0.5262,0.4946,0.6007,0.4211
0.7,1.0,1.5,0.7,0.5099,0.5002,0.4961,0.6585,0.3849
0.7,0.6,1.8,0.79,0.5074,0.5329,0.5224,0.5753,0.3991
0.6,0.8,1.8,0.73,0.5072,0.5278,0.5046,0.5866,0.4097
0.6,0.8,2.0,1.06,0.5027,0.7201,0.6605,0.1135,0.5165
0.7,0.8,2.0,1.15,0.5019,0.7039,0.7038,0.0705,0.5294
0.5,1.0,2.0,0.69,0.5016,0.5452,0.4982,0.5226,0.4405
0.7,1.0,2.0,1.1,0.5015,0.7093,0.6877,0.0593,0.5496
0.7,0.6,2.0,0.8,0.5011,0.5465,0.5262,0.5212,0.4105
0.6,1.0,1.8,1.07,0.4999,0.711,0.681,0.0789,0.5286
0.6,1.0,2.0,1.01,0.4985,0.7152,0.6464,0.0975,0.5349
0.7,1.0,1.8,1.16,0.4981,0.6889,0.7157,0.047,0.5409
0.7,0.8,1.8,0.73,0.4948,0.5162,0.5013,0.5598,0.4019
